Time;Latitude;Longitude;Course;kts;mph;metres;Rate;Reporting Facility
Sat 11:35:40 PM;59.3881;25.2856;← 313°;199;229;594;-190 Descending;FlightAware ADS-B (HEL / EFHK)
Sat 11:36:01 PM;59.4012;25.2577;← 311°;182;209;526;-132 Descending;FlightAware ADS-B (EECL)
Sat 11:36:18 PM;59.4071;25.2354;← 286°;166;191;511;-24 Descending;FlightAware ADS-B (TLL / EETN)
Sat 11:36:39 PM;59.4093;25.2048;← 278°;159;183;511;Level;FlightAware ADS-B (TLL / EETN)
Sat 11:36:55 PM;59.4109;25.1817;← 278°;155;178;511;Level;FlightAware ADS-B (TLL / EETN)
Sat 11:37:11 PM;59.4121;25.1585;← 273°;152;175;511;Level;FlightAware ADS-B (EECL)
Sat 11:37:42 PM;59.4123;25.1177;← 272°;148;170;511;15 Climbing;FlightAware ADS-B (HEL / EFHK)
Sat 11:38:13 PM;59.4127;25.0765;← 271°;139;160;526;-75 Descending;FlightAware ADS-B (EECL)
Sat 11:38:43 PM;59.4128;25.0415;← 270°;131;151;434;-187 Descending;FlightAware ADS-B (HEL / EFHK)
Sat 11:39:14 PM;59.4130;25.0059;← 271°;127;146;335;-204 Descending;FlightAware ADS-B (TLL / EETN)
Sat 11:39:30 PM;59.4130;24.9863;← 270°;128;147;274;-211 Descending;FlightAware ADS-B (TLL / EETN)
Sat 11:39:40 PM;59.4130;24.9746;← 270°;129;148;244;-183 Descending;Surface and Near-Surface
Sat 11:40:50 PM;59.4132;24.8912;← 270°;137;158;-686 Descending;FlightAware ADS-B (TLL / EETN)
Sat 11:41:06 PM;59.4132;24.8712;← 270°;141;162;;Level;FlightAware ADS-B (TLL / EETN)
Sat 11:41:22 PM;59.4132;24.8511;← 270°;141;162;;Level;FlightAware ADS-B (TLL / EETN)
